缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-1,,LH 2# DOOR FWD STOWAGE LOWER DOOR LATCH WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-2,,LH 2# DOOR FWD STOWAGE UPPER DOOR LOOSE.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-3,,LH 2# DOOR FWD STOWAGE EDGE VERTICAL TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-4,,CABIN GALLEY OVEN MOUTING SCREWS STRIPPED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007583813.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY OVEN INSTALLATION SCREWS STRIPPED,QTY:50EA",
DEF-5,,"CABIN GALLEY TROLLEY DOOR INSTALLATION SCREWS AND WASHERS MISSING,QTY:50EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007585209.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR INSTALLATION SCREWS AND WASHERS MISSING,QTY:50EA",
DEF-6,,"GALLEY A1 WORK SURFACE DOOR WALLPAPER WORN,LOC:A122 A123 A124 A125 A126 A127 A108 A117 A110 A111",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860510.0,,,CMM25-25-02.REV.1,,,,"GALLEY A1 WORK SURFACE DOOR WALLPAPER WORN,LOC:A108 A110 A111 A117 A122 A123 A124 A125 A126 A127",
DEF-7,,"GALLEY A2 WORK SURFACE DOOR WALLPAPER WORN,LOC:A220 A221 A222 A223 A224 A204 A207 A213 A214 A215 A216",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578690.0,,,CMM25-25-02.REV.1,,,,"GALLEY A2 WORK SURFACE DOOR WALLPAPER WORN,LOC:A220 A221 A222 A223 A224 A204 A207 A213 A214 A215 A216",
DEF-8,,"GALLEY A3 WORK SURFACE DOOR WALLPAPER WORN,LOC:A320 A321 A322 A303 A304 A315",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578691.0,,,CMM25-25-02.REV.1,,,,"GALLEY A3 WORK SURFACE DOOR WALLPAPER WORN,LOC:A320 A321 A322 A303 A304 A315",
DEF-9,,GALLEY M5 WORK FACE LH SIDE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634851.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M5",
DEF-10,,GALLEY M5 WORK FACE RH SIDE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634851.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M5",
DEF-11,,GALLEY M5 WORK FACE TOP SIDE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634851.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M5",
DEF-12,,GALLEY M7 WORK FACE LH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634852.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M7",
DEF-13,,GALLEY M7 WORK FACE RH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634852.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M7",
DEF-14,,GALLEY M7 WORK FACE TOP WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634852.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M7",
DEF-15,,GALLEY M7 LH AISLE SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007582708.0,,,CMM25-25-02.REV.1,,,,GALLEY M7 LH AISLE SURFACE WALLPAPER SCRATCHED,
DEF-16,,GALLEY M7 RH AISLE SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007582708.0,,,CMM25-25-02.REV.1,,,,GALLEY M7 LH AISLE SURFACE WALLPAPER SCRATCHED,
DEF-17,,GALLEY A1 WORK FACE LH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-18,,GALLEY A1 WORK FACE RH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-19,,GALLEY A1 WORK FACE TOP WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-20,,GALLEY A2 WORK FACE LH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-21,,GALLEY A2 WORK FACE RH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-22,,GALLEY A2 WORK FACE TOP WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-23,,GALLEY A3 WORK FACE LH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-24,,GALLEY A3 WORK FACE RH WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-25,,GALLEY A3 WORK FACE TOP WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-26,,GALLEY A3 LH AISLE FACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860486.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:A1 A2 A3",
DEF-27,,RH 4# DOOR FWD STOWAGE EDGE VERTICAL TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-28,,RH 2# DOOR FWD STOWAGE EDGE VERTICAL TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-29,,GALLEY F3 AFT WALL FOLDING DOWN TABLE EDGE TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-30,,"GALLEY F2 TROLLEY DOOR FOLDING TABLE LOWER SEAL MISSING,LOC:F219",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007349057.0,,,CMM25-25-02.REV.1,,,,GALLEY F2 TROLLEY F219 DOOR INNER LOWER METAL PANEL SCREW MISSING.QTY:1EA,
DEF-31,,"GALLEY F2 TROLLEY DOOR FOLDING TABLE MAGNETIC PLATE MISSING,LOC:A219",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-32,,"GALLEY F2 FOLDING TABLE WHITE BUMPER WORN,LOC:F219",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-33,,"GALLEY F2 TROLLEY DOOR HINGE COVER MOUTING SCREW MISSING,LOC:F220,F219,QTY:10EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007541410.0,,,CMM25-25-02.REV.1,,,,"GALLEY COMPARTMENT DOOR SCREW MISSING,QTY:50EA",
DEF-34,,CABIN FWD BAR LH SIDE LOWER TROLLEY BAY DOOR INNER FACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-35,,CABIN FWD BAR FWD DOOR LATCH PAINT PEELED OFF.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007876634.0,,,CMM25-25-02.REV.1,,,,CABIN 1# DOOR BAR LH SIDE UPPER COAT BAY DOORFRAME TRIM PAINT PEELED OFF.,
DEF-36,,"CABIN FWD BAR RH SIDE  FWD DOOR SURFACE WALLPAPER WORN,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007657617.0,,,CMM25-25-02.REV.1,,,,CABIN M1 RH SIDE PANEL SURFACE WORN,
DEF-37,,"CABIN FWD BAR LH/RH SIDE COAT BAY AND TROLLEY BAY DOOR LATCH WORN,QTY:4EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-38,,GALLEY M2 WORKTOP DENTED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-39,,GALLEY M2 WORKTOP AROUND EDGE TRIM DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-40,,GALLEY M1 RH SIDE WALL PANEL SURFCE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874641.0,,,CMM25-25-02.REV.1,,,,GALLEY M1 RH SIDE WALL PANEL SURFACE WALLPAPER BROKEN.,
DEF-41,,GALLEY M1 WORKTOP DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-42,,"GALLEY F3 AFT WALL SURFACE WALLPAPER WORN,REMARK:FOLD DOWN TABLE AREA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874316.0,,,CMM25-25-02.REV.1,,,,GALLEY M2 AFT WALL PANEL SURFACE VASE SCREW AND WASHER WORN.,
DEF-43,,GALLEY F3 WORKTOP DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007344001.0,,,CMM25-25-02.REV.1,,,,ABOVE F3 GALLEY WORKTOP WALLPAPER FOUND DENT,
DEF-44,,GALLEY F3 COMPARTMENT F305 INNER FACE SCRATCHED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-45,,"GALLEY F3 COMPARTMENT DOOR F305 BUMPER MISSING,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007348554.0,,,CMM25-25-02.REV.1,,,,GALLEY F3 COMPARTMENT F305 DOOR MANUAL LOCK SCREW MISSING.QTY:1EA,
DEF-46,,GALLEY F2 LH WALL PANEL EDGE VERTICAL TRIM SCRATCHED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-47,,GALLEY F2 WORKTOP DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-48,,GALLEY F2 WORKING LIGHT BOX METAL COVER BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-49,,"GALLEY F2 COMPARTMENT TEE GUIDE BROKEN,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-50,,"GALLEY F2 FOLDING TABLE HINGE BLOCK SUPPORT BROKEN,LOC:F219",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-51,,"GALLEY F2 COMPARTMENT DOOR F219,F220 TOP SEAL BROKEN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-52,,GALLEY F2 COMPARTMENT DRAWER F221 STRUCTURE PLATE BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-53,,GALLEY F2 COMPARTMENT F221 DRAWER DOOR RAIL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-54,,GALLEY F2 COMPARTMENT DOOR F219 F220 INNER FACE DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-55,,"CABIN GALLEY F2 ESPRESSO MAKER SPOUT BROKEN,LOC:F213,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-56,,"GALLEY COMPARTMENT DOOR MIRROR SCRATCHED,LOC:F211",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874753.0,,,CMM25-25-02.REV.1,,,,"GALLEY COMPARTMENT DOOR SURFACE MIRROR SCRATCHED,LOC:F211 M209 M213 M514 A315 A108 A214",
DEF-57,,"GALLEY F2 COMPARTMENT DOOR SURFACE WALLPAPER WORN,LOC:F211,F219,F220,F221B,F215,F222,QTY:6EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578683.0,,,CMM25-25-02.REV.1,,,,"GALLEY F1 F2,F3 WORK SURFACE DOOR WALLPAPER WORN，LOC:F104 F109 F110 F113 F114 F203 F222 F215 F211 F219 F220 F221A F221B F305",
DEF-58,,"GALLEY F1 LWR AIR GRILL LH METAL STRIP BROKEN,LOC:115A",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-59,,GALLEY F1 COMPARTMENT DOOR F110 RH SIDE WALL BUMPER MISSNG.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-60,,"GALLEY F1 WORKTABLE JAMMED,LOC:F112",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-61,,"GALLEY F1 OVEN MOUTING ACCESS PLATE LOOSE,QTY:4EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-62,,GALLEY F1 LOWER COMPARTMENT F113 FOOT STEP WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007867651.0,,,CMM25-25-02.REV.1,,,,GALLEY F1 LOWER UNIT FOOT STEP WORN.,
DEF-63,,GALLEY F1 LWR AIR GRILL AROUND WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-64,,"GALLEY F1 LWR AIR GRILL RH METAL STRIP MISSING,LOC:115A",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007288877.0,,,CMM25-25-02.REV.1,,,,"GALLEY F1 RH LOWER METAL STRIP MISSING,QTY:1EA",
DEF-65,,GALLEY F1 WORKTOP DENTED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007579409.0,,,CMM25-25-02.REV.1,,,,C646 CLP681417/23:F1 GALLEY WORKTOP DENTED.,
DEF-66,,"GALLEY F1 WORKTOP LOWER AREA BRUSH SEAL  BROKEN,LOC:F113,F114",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007641481.0,,,CMM25-25-02.REV.1,,,,GALLEY WORKTOP LWR AREA BRUSH SEAL AND RUBBER SHEET BROKEN  LOC:F1/2/3 M5/7 A/1/2/3,
DEF-67,,GALLEY F1 COMPARTMENT DOOR F109 METAL PLACARD FOUND DENT.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-68,,"GALLEY F1 COMPARTMENT TEE GUIDE BROKEN,LOC:F101,F102,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-69,,"GALLEY F1 COMPARTMENT F101A,F102A RETRIEVER WHITE WASHERS AND SCREWS WORN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-70,,GALLEY F1 TROLLEY DOOR F113 HINGE P-SEAL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007355707.0,,,CMM25-25-02.REV.1,,,,GALLEY A123 DOOR HINGE EXTRUSION BROKEN,
DEF-71,,"GALLEY F1 TROLLEY DOOR F113,F114 SURFACE BUMPER STRIP WORN,QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007524902.0,,,CMM25-25-02.REV.1,,,,GALLEY TROLLEY DOOR BUMPER WORN,
DEF-72,,"GALLEY F1 COMPARTMENT DOOR F113,F114,F108 SURFACE WALLPAPER WORN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578683.0,,,CMM25-25-02.REV.1,,,,"GALLEY F1 F2,F3 WORK SURFACE DOOR WALLPAPER WORN，LOC:F104 F109 F110 F113 F114 F203 F222 F215 F211 F219 F220 F221A F221B F305",
DEF-73,,GALLEY F1 F2 TROLLEY DOOR MOUTING SCREW AND WASHER MISSING.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007351484.0,,,CMM25-25-02.REV.1,,,,GALLEY TROLLEY DOOR HINGE SCREW AND WASHER MISSING QTY:116EA,
DEF-74,,"GALLEY F1,F2,F3 TOP STRAIGHT SEAL AGING.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-75,,CABIN FWD BAR LH/RH SIDE VERTICAL TRIM WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-76,,CABIN FWD BAR UPPER UNIT LH SIDE PANEL SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007876628.0,,,CMM25-25-02.REV.1,,,,CABIN FWD ZONE BAR LH SIDE UPPER COAT BAY DOOR SURFACE WALLPAPER BROKEN.,
DEF-77,,"CLose and Secure all Doors
Secure all Loose items on
Counter and Centre Display
Shelves for Taxi, Takeoff,
Turbulence and ianding",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-78,,CABIN FWD BAR UPPER UNIT RH SIDE DECOR PANEL SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007657617.0,,,CMM25-25-02.REV.1,,,,CABIN M1 RH SIDE PANEL SURFACE WORN,
DEF-79,,CABIN FWD BAR UPPER CEILING PANEL SURFACE SCATCHED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-80,,CABIN FWD BAR COMPARTMENT INNER FACE SCRATCHED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007876653.0,,,CMM25-25-02.REV.1,,,,CABIN 1# DOOR BAR COMPARTMENT INNER FACE SCRATCHED.,
DEF-81,,CABIN FWD BAR LOWER UNIT LH/RH SIDE CORNER DECOR PANEL SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007657617.0,,,CMM25-25-02.REV.1,,,,CABIN M1 RH SIDE PANEL SURFACE WORN,
